"","X","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI","sexo"
"96",96,"2022.MAM","Atacama",24.63,55.46,60.52,8.36,137506,12545,150051,247921,97870,33861,"Ambos sexos"
"97",97,"2022.AMJ","Atacama",24.07,55.04,60.43,8.92,136553,13368,149922,248096,98174,32862,"Ambos sexos"
"98",98,"2022.MJJ","Atacama",25.28,54.99,60.53,9.15,136503,13755,150258,248241,97983,34511,"Ambos sexos"
"99",99,"2022.JJA","Atacama",25.86,56.02,61.39,8.74,139168,13334,152503,248405,95902,35990,"Ambos sexos"
"100",100,"2022.JAS","Atacama",26.96,58.47,62.8,6.89,145328,10761,156089,248552,92463,39180,"Ambos sexos"
"101",101,"2022.ASO","Atacama",27.74,59.02,63.18,6.59,146784,10353,157137,248697,91560,40722,"Ambos sexos"
"102",102,"2022.SON","Atacama",28.32,59.1,63.42,6.82,147068,10770,157838,248861,91023,41646,"Ambos sexos"
"103",103,"2022.OND","Atacama",27.25,59.7,64.6,7.59,148657,12203,160860,249016,88156,40502,"Ambos sexos"
"104",104,"2022.NDE","Atacama",25.66,59.73,64.94,8.01,148850,12968,161818,249189,87371,38196,"Ambos sexos"
"105",105,"2023.DEF","Atacama",26.39,60.15,65.54,8.22,149976,13439,163415,249344,85929,39574,"Ambos sexos"
"106",106,"2023.EFM","Atacama",27.5,59.15,64.9,8.87,147566,14359,161925,249497,87572,40584,"Ambos sexos"
"107",107,"2023.FMA","Atacama",28.04,59.36,65.84,9.84,148189,16177,164366,249660,85294,41557,"Ambos sexos"
"108",108,"2023.MAM","Atacama",27.74,58.75,65.5,10.3,146765,16856,163621,249808,86187,40716,"Ambos sexos"
"109",109,"2023.AMJ","Atacama",28.67,59.26,65.48,9.5,148134,15555,163689,249979,86290,42465,"Ambos sexos"
"110",110,"2023.MJJ","Atacama",28.8,58.94,64.77,9,147428,14586,162014,250132,88118,42464,"Ambos sexos"
"111",111,"2023.JJA","Atacama",27.63,59.22,64.61,8.34,148235,13491,161726,250317,88591,40959,"Ambos sexos"
"112",112,"2020.JJA","Coquimbo",30.32,43.82,52.22,16.08,291745,55922,347667,665784,318117,88446,"Ambos sexos"
"113",113,"2020.JAS","Coquimbo",30,43.73,50.97,14.21,291578,48295,339873,666754,326881,87466,"Ambos sexos"
"114",114,"2020.ASO","Coquimbo",32.93,45.01,51.83,13.17,300525,45566,346092,667707,321615,98977,"Ambos sexos"
"115",115,"2020.SON","Coquimbo",32.78,46.74,53.35,12.39,312524,44190,356714,668669,311955,102441,"Ambos sexos"
"116",116,"2020.OND","Coquimbo",34.28,47.24,54.02,12.55,316330,45406,361736,669617,307881,108437,"Ambos sexos"
"117",117,"2020.NDE","Coquimbo",32.47,48.85,55.65,12.22,327580,45608,373188,670563,297375,106369,"Ambos sexos"
"118",118,"2021.DEF","Coquimbo",32,49.73,55.73,10.77,333932,40290,374222,671524,297302,106865,"Ambos sexos"
"119",119,"2021.EFM","Coquimbo",30.29,49.54,54.76,9.53,333168,35088,368256,672502,304246,100919,"Ambos sexos"
"120",120,"2021.FMA","Coquimbo",29.48,48.55,53.25,8.82,326984,31638,358622,673433,314811,96386,"Ambos sexos"
"121",121,"2021.MAM","Coquimbo",29.88,47.08,52,9.47,317486,33219,350705,674408,323703,94852,"Ambos sexos"
"122",122,"2021.AMJ","Coquimbo",29.7,46.84,51.81,9.6,316308,33580,349888,675359,325471,93950,"Ambos sexos"
"123",123,"2021.MJJ","Coquimbo",29.69,47.27,52.49,9.94,319718,35273,354992,676314,321322,94911,"Ambos sexos"
"124",124,"2021.JJA","Coquimbo",27.72,48.13,52.81,8.87,325917,31723,357641,677208,319567,90347,"Ambos sexos"
"125",125,"2021.JAS","Coquimbo",28.7,49.15,54.16,9.25,333280,33964,367244,678058,310814,95652,"Ambos sexos"
"126",126,"2021.ASO","Coquimbo",29.06,49.27,54.45,9.51,334488,35171,369659,678938,309279,97213,"Ambos sexos"
"127",127,"2021.SON","Coquimbo",30.19,49.29,54.87,10.17,335067,37939,373006,679766,306760,101156,"Ambos sexos"
"128",128,"2021.OND","Coquimbo",29.34,49.61,55.02,9.83,337679,36793,374472,680634,306162,99092,"Ambos sexos"
"129",129,"2021.NDE","Coquimbo",29.89,50.08,54.98,8.9,341316,33345,374661,681490,306829,102035,"Ambos sexos"
"130",130,"2022.DEF","Coquimbo",30.92,49.77,54.71,9.03,339614,33723,373337,682349,309012,104993,"Ambos sexos"
"131",131,"2022.EFM","Coquimbo",31.65,49.53,54.26,8.73,338375,32357,370731,683214,312483,107087,"Ambos sexos"
"132",132,"2022.FMA","Coquimbo",30.03,50.04,55.15,9.27,342283,34955,377239,684083,306844,102804,"Ambos sexos"
"133",133,"2022.MAM","Coquimbo",29.92,50.93,56.32,9.56,348835,36881,385715,684920,299205,104366,"Ambos sexos"
"134",134,"2022.AMJ","Coquimbo",30.73,51.61,56.87,9.26,353929,36116,390045,685798,295753,108774,"Ambos sexos"
"135",135,"2022.MJJ","Coquimbo",31.18,52.17,56.89,8.29,358238,32380,390618,686648,296030,111696,"Ambos sexos"
