"","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI"
"548","2022.NDE","Arica y Parinacota",33.03,53.69,57.49,6.61,110779,7847,118626,206348,87722,36586
"549","2023.DEF","Arica y Parinacota",32.01,52.54,57.17,8.11,108520,9580,118100,206560,88460,34740
"550","2023.EFM","Arica y Parinacota",32.72,53.77,58.34,7.84,111170,9460,120631,206764,86133,36379
"551","2023.FMA","Arica y Parinacota",33.47,54.54,59.51,8.35,112881,10282,123162,206972,83810,37776
"552","2023.MAM","Arica y Parinacota",37.1,55.62,60.27,7.71,115236,9624,124859,207167,82308,42755
"553","2023.AMJ","Arica y Parinacota",36.24,55.17,59.77,7.69,114419,9535,123954,207379,83425,41466
"554","2023.MJJ","Arica y Parinacota",37.08,55.17,59.63,7.48,114523,9266,123789,207582,83793,42468
"555","2023.JJA","Arica y Parinacota",35.79,55.06,59.34,7.21,114409,8896,123305,207796,84491,40945
"556","2020.JJA","Ñuble",28.67,43.5,48.81,10.89,181073,22124,203197,416295,213098,51921
"557","2020.JAS","Ñuble",29.04,44.36,49.71,10.77,184781,22293,207073,416572,209499,53662
"558","2020.ASO","Ñuble",29.58,45.48,50.53,9.99,189604,21038,210642,416898,206256,56086
"559","2020.SON","Ñuble",32.47,47.7,52.53,9.2,198990,20168,219158,417203,198045,64608
"560","2020.OND","Ñuble",31.43,49.01,53.38,8.19,204637,18250,222888,417515,194627,64321
